"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Type: All Types - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1977 - 12/2020"
"Unit of Measure:","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Kia | Mitsubishi | Scion | All Models | All Vehicle Years, 01/1977 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD3817049"
"ColumnCount:",4
"RowCount:",528

"Time","All Types, Kia, All Models, All Vehicle Years, #","All Types, Mitsubishi, All Models, All Vehicle Years, #","All Types, Scion, All Models, All Vehicle Years, #"
"01/1977",10,,10
"02/1977",38,,34
"03/1977",78,,54
"04/1977",98,,94
"05/1977",186,,118
"06/1977",172,,126
"07/1977",282,,142
"08/1977",182,,158
"09/1977",142,,112
"10/1977",108,,72
"11/1977",70,,76
"12/1977",42,,24
"01/1978",18,,34
"02/1978",26,,24
"03/1978",56,,54
"04/1978",118,,126
"05/1978",210,,174
"06/1978",220,,174
"07/1978",218,,242
"08/1978",228,,182
"09/1978",184,,150
"10/1978",124,,120
"11/1978",74,,40
"12/1978",38,,46
"01/1979",28,,60
"02/1979",38,,26
"03/1979",70,,86
"04/1979",136,,104
"05/1979",230,,174
"06/1979",254,,222
"07/1979",268,,232
"08/1979",230,,208
"09/1979",212,,146
"10/1979",118,,130
"11/1979",62,,90
"12/1979",44,,38
"01/1980",30,,38
"02/1980",52,,44
"03/1980",100,,96
"04/1980",132,,146
"05/1980",212,,222
"06/1980",270,,224
"07/1980",252,,212
"08/1980",250,,222
"09/1980",218,,156
"10/1980",110,,98
"11/1980",70,,80
"12/1980",42,,50
"01/1981",44,,42
"02/1981",56,,78
"03/1981",88,,74
"04/1981",178,,160
"05/1981",240,,166
"06/1981",238,,238
"07/1981",206,,178
"08/1981",250,,220
"09/1981",168,,142
"10/1981",134,,114
"11/1981",68,,90
"12/1981",40,,44
"01/1982",28,,34
"02/1982",48,,58
"03/1982",78,,96
"04/1982",130,,136
"05/1982",174,,212
"06/1982",184,,186
"07/1982",264,,192
"08/1982",228,,230
"09/1982",174,,182
"10/1982",118,,114
"11/1982",54,,58
"12/1982",48,,48
"01/1983",38,2,42
"02/1983",30,,48
"03/1983",90,2,62
"04/1983",124,,92
"05/1983",158,2,160
"06/1983",208,2,172
"07/1983",244,,226
"08/1983",192,2,200
"09/1983",178,,156
"10/1983",136,2,106
"11/1983",56,4,68
"12/1983",58,6,36
"01/1984",46,,56
"02/1984",56,2,80
"03/1984",84,4,80
"04/1984",140,2,110
"05/1984",168,2,174
"06/1984",232,2,218
"07/1984",182,8,206
